text,timestamp,source,url,ticker,company_names
Zimmer Biomet Holdings Inc $ZBH Expected to Post Earnings of $1.88 Per Share https://t.co/UQmbcOYwku,Mon Jul 09 19:54:16 +0000 2018,dakotafinancial,http://dakotafinancialnews.com/?p=307214,,
Zimmer Biomet Holdings Inc $ZBH Expected to Post Earnings of $1.88 Per Share https://t.co/XQGORDtVie,Mon Jul 09 19:54:58 +0000 2018,MareaInformativ,http://www.mareainformativa.com/?p=412026,,
$AON open interest for maturity 07/20/2018. High put=115.00 High call=145.00 #maxpain #optionsâ€¦ https://t.co/LKec83kRIX,Mon Jul 09 19:59:14 +0000 2018,optioncharts,https://twitter.com/i/web/status/1016411475462811648,,
#estate asset watch -today's outsized price moves- $STAF $HELE $DEPO $HSTM $PVG $COF $LEDS $MET $DSGX $PRU $MTBâ€¦ https://t.co/wuLE4EDM0I,Mon Jul 09 20:05:26 +0000 2018,TheBurdetteLawF,https://twitter.com/i/web/status/1016413035278237696,,
$1.50 EPS Expected for Torchmark Corporation $TMK - https://t.co/pI1b3bYM8d,Mon Jul 09 20:06:37 +0000 2018,whatsonthorold2,https://www.whatsonthorold.com/2018/07/09/1-50-eps-expected-for-torchmark-corporation-tmk/,,
$ROP https://t.co/lbCbX8ZmHX,Mon Jul 09 20:06:40 +0000 2018,MarketsUpChuck,https://seekingalpha.com/article/4185347-roper-technologies-best-performing-dividend-aristocrat-past-2-decades-good-investment-today?source=tweet,,
Torchmark Corporation $TMK Analysts See $1.50 EPS https://t.co/Vp6nrfdrXx,Mon Jul 09 20:07:42 +0000 2018,reurope_stock,https://reurope.com/2018/07/09/torchmark-corporation-tmk-analysts-see-1-50-eps/,,
EPS for Torchmark Corporation $TMK Expected At $1.50 - https://t.co/UXRjpQpGTj,Mon Jul 09 20:08:05 +0000 2018,bibeypost_stock,https://www.bibeypost.com/eps-for-torchmark-corporation-tmk-expected-at-1-50/,,
Thermo Fisher Scientific Inc. $TMO Analysts See $2.68 EPS - https://t.co/sdJ2tkdtcT,Mon Jul 09 20:12:12 +0000 2018,whatsonthorold2,https://www.whatsonthorold.com/2018/07/09/thermo-fisher-scientific-inc-tmo-analysts-see-2-68-eps/,,
$AKAM Max Pain is 75.50 for maturity 07/13/2018. #maxpain #options https://t.co/21SnfF8jOz https://t.co/hyeUsPe5j9,Mon Jul 09 20:14:46 +0000 2018,optioncharts,http://maximum-pain.com/options/max-pain/AKAM,,
